id,category_name,category_name_es,description;;
"1,Beading & Jewelry Making,Abalorios y Fabricación de Joyería,""Envío de insumos para fabricación artesanal de joyería y bisutería: cuentas de vidrio, cristal, madera, acrílico y metal";" mostacillas, rocallas, perlas artificiales, dijes, dijes metálicos, cierres, argollas, alambres de joyería, pinzas, tenazas, hilo nylon, cordón de cuero, cadenas, remaches y kits completos de bisutería.""";
"2,Fabric Decorating,Decoración de Telas,""Envío de productos para decorar y personalizar telas: pinturas textiles en spray y pomo, tintes para ropa, estampillas de tela, planchas para sublimación, transfer térmico, tintas de serigrafía, plantillas adhesivas, glitter textil, parches termoadhesivos y bordados decorativos.""";;
"3,Knitting & Crochet Supplies,Insumos de Tejido y Crochet,""Envío de materiales para tejido a palillo y crochet: lanas de oveja, acrílica, merino y alpaca";" madejas de hilo de algodón y bambú, agujas circulares y rectas de distintos calibres, ganchillos ergonómicos, marcadores de puntos, agujas laneras, accesorios de tejido, kits de inicio para tejer y patrones impresos.""";
"4,Printmaking Supplies,Insumos de Grabado y Estampación,""Envío de materiales para grabado y estampación artística: tintas de grabado al agua y al aceite, rodillos de linóleo, planchas de linóleo y madera, raspadores, prensas de grabado, papeles de grabado, ácidos para aguafuerte, pantallas de serigrafía, emulsión fotosensible y espátulas.""";;
"5,Scrapbooking & Stamping Supplies,Insumos de Scrapbooking y Sellos,""Envío de materiales para scrapbooking y estampado decorativo: álbumes de tapa dura, papeles decorativos de doble cara, sellos de goma y acrílico, almohadillas de tinta, troqueladores, punzones decorativos, washi tape, stickers, eyelets, brads, cintas decorativas y cajas de almacenamiento para manualidades.""";;
"6,Sewing Products,Productos de Costura,""Envío de productos de costura: máquinas de coser domésticas e industriales, overlock y recubridoras";" hilos de algodón, poliéster y seda en carretes, agujas universales y especiales, dedales, descosedores, cintas métricas, tizas de costura, patrones, cremalleras, botones, elásticos, entretela y accesorios para máquina.""";
"7,Craft & Hobby Fabric,Telas para Manualidades y Hobbies,""Envío de telas para manualidades y hobbies: fieltro, tul, organza, encaje, tela aida para bordado, loneta, yute, lino, algodón estampado, cuero sintético, vinilo, foam EVA, telas metalizadas, paños de colores y retazos surtidos.""";;
"8,Needlework Supplies,Insumos de Bordado y Labores,""Envío de materiales para labores de aguja: kits de bordado con lienzo y estambre, hilos de bordado DMC, hilo de seda y metálico, tela aida de distintos conteos, bastidores de madera y plástico, agujas de bordado, kits de punto de cruz, tapicería en cañamazo y conjuntos de bordado en cinta.""";;
"9,""Arts, Crafts & Sewing Storage"",""Almacenamiento para Arte, Manualidades y Costura"",""Envío de soluciones de almacenamiento para manualidades: organizadores de hilo y agujas, cajas modulares con compartimentos, carritos con ruedas para materiales de arte, maletines para pinturas, porta-hilos giratorios, estantes de pared, bolsas acolchadas para costura y cajones apilables para materiales.""";;
"10,""Painting, Drawing & Art Supplies"",""Insumos de Pintura, Dibujo y Bellas Artes"",""Envío de materiales artísticos: pinceles de acuarela, óleo y acrílico"; lienzos entelados y en rollo, pinturas al óleo, acrílicas, acuarelas y gouache;" lápices de grafito y de colores, pasteles, carboncillos, marcadores artísticos, espátulas, paletas, caballetes, bloques de papel de acuarela, tintas China y sets completos de bellas artes."""
"11,Craft Supplies & Materials,Insumos y Materiales para Manualidades,""Envío de insumos generales para manualidades: silicón en barra y pistola de silicón, cartulinas y cartón prensado, foamy liso y con glitter, tijeras de manualidades, cutter, base de corte, cinta doble cara, pegamento en barra y líquido, alambre floral, arcilla polimérica, resina epóxica, moldes de silicona, lentejuelas y cuentas decorativas.""";;
